min,max,count,mean,year,month,type,index,lat,long
43.0,65.0,90,48.1,0s_e,ev,2.1_,174,24.02338,71.72956
50.0,70.0,100,56.85,0s_e,ev,2.1_,175,24.02338,71.80919
61.0,72.0,90,65.1,0s_e,ev,2.1_,176,24.02338,71.88882
65.0,82.0,100,73.96,0s_e,ev,2.1_,177,24.02338,71.96844
74.0,93.0,100,84.41,0s_e,ev,2.1_,178,24.02338,72.04807
84.0,112.0,90,96.78888888888889,0s_e,ev,2.1_,179,24.02338,72.12769
94.0,126.0,100,109.02,0s_e,ev,2.1_,180,24.02338,72.20732
116.0,149.0,90,131.8,0s_e,ev,2.1_,181,24.02338,72.28694
133.0,179.0,100,153.9,0s_e,ev,2.1_,182,24.02338,72.36657
158.0,198.0,90,177.4777777777778,0s_e,ev,2.1_,183,24.02338,72.44619
165.0,212.0,100,192.08,0s_e,ev,2.1_,184,24.02338,72.52582
173.0,229.0,90,198.2888888888889,0s_e,ev,2.1_,185,24.02338,72.60544
199.0,388.0,100,232.85,0s_e,ev,2.1_,186,24.02338,72.68507
197.0,311.0,100,229.67,0s_e,ev,2.1_,187,24.02338,72.76469
159.0,362.0,90,212.86666666666667,0s_e,ev,2.1_,188,24.02338,72.84432
174.0,202.0,100,183.43,0s_e,ev,2.1_,189,24.02338,72.92394
184.0,242.0,90,198.04444444444445,0s_e,ev,2.1_,190,24.02338,73.00357
202.0,243.0,100,219.29,0s_e,ev,2.1_,191,24.02338,73.08319
223.0,412.0,90,269.9555555555556,0s_e,ev,2.1_,192,24.02338,73.16282
264.0,578.0,100,350.92,0s_e,ev,2.1_,193,24.02338,73.24244
334.0,644.0,90,420.93333333333334,0s_e,ev,2.1_,194,24.02338,73.32207
367.0,495.0,100,425.56,0s_e,ev,2.1_,195,24.02338,73.40169
-1.0,36.0,90,1.4666666666666666,0s_e,ev,2.1_,196,23.94278,70.13706
-1.0,137.0,100,14.64,0s_e,ev,2.1_,197,23.94278,70.21669
0.0,189.0,100,25.75,0s_e,ev,2.1_,198,23.94278,70.37594
1.0,56.0,90,7.388888888888889,0s_e,ev,2.1_,199,23.94278,70.45556
-1.0,27.0,100,2.51,0s_e,ev,2.1_,200,23.94278,70.53519
0.0,74.0,100,20.34,0s_e,ev,2.1_,201,23.94278,70.61481
0.0,157.0,90,30.27777777777778,0s_e,ev,2.1_,202,23.94278,70.69444
0.0,186.0,100,13.59,0s_e,ev,2.1_,203,23.94278,70.77406
1.0,3.0,90,1.6888888888888889,0s_e,ev,2.1_,204,23.94278,70.85369
0.0,3.0,90,1.7333333333333334,0s_e,ev,2.1_,205,23.94278,71.01294
0.0,11.0,100,2.14,0s_e,ev,2.1_,206,23.94278,71.09256
2.0,21.0,100,6.45,0s_e,ev,2.1_,207,23.94278,71.25181
